prescription,Denomination,simd_deprivation_group,Full Address,Latitude,Longitude,Date First Listed,practice_name,Other,Notes,Citation,-----> Repeated ,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss E. R. Anderson,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1882-1883,F,Teacher in Seminary,,AR 2 (p. 81),AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs M. M. Skewes,M. E. C. ,W. H. M. S. ,Ogden Utah USA  ,41.223,-111.9738304,1882-1883,F,Teacher in Seminary,,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p.110),AR 6 (p. 110),AR 7 (p.7),,,,,,,,,,,,,,,,,,,,,,
Miss E. J. Betts,M. E. C. ,W. H. M. S. ,Orangeburg South Carolina USA  ,33.4918203,-80.8556476,1882-1883,F,Matron in Industrial Home,,AR 2 (p. 81),AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,
Miss F. Mitchell,M. E. C. ,W. H. M. S. ,Atlanta Georgia USA  ,33.748752,-84.3876845,1882-1883,F,"Matron in Industrial Home, Superintendent ""Atlanta"" Industrial Home, Superintendent ""Thayer"" Industrial Home ",Miss Flora Mitchell,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p. 110),AR 6 (p. 110),,,,,,AR 12 (p. 9),,,,AR 16 (p. 13),AR 17 (p. 113),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21 ),AR 23 (p. 19),,AR 25 (p. 20),AR 26 (p. 22),AR 27 (p. 25),,AR 29 (p. 27)
Mrs. I. S. Spurlock,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1882-1883,F,Missionary in Scandinavian School,,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),,,,,,,,,,,,,,,,,,,,,,,,,
Miss Saugstad,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1882-1883,F,"Missionary in Scandinavian School, Teacher in Scandinavian School Mt. Pleasant, Utah, Teacher in Ephraim, Utah",,AR 2 (p. 81),AR 3 (p.121),,AR 5 (p.110),AR 6 (p. 110),AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss E. H. McIntosh,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1882-1883,F,"Matron in Industrial Home, Superintendent ""A. M. Smith"" Industrial Home",,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p.110),AR 6 (p. 110),AR 7 (p. 7),AR 8 (p. 8),,AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),,,,,,,,,,,,,,,,
Miss Addie Gordon,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1883-1884,F,Teacher in Seminary,,AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss S. Johnston,M. E. C. ,W. H. M. S. ,Holly Springs Mississippi USA  ,34.7675967,-89.4486894,1883-1884,F,"Superintendent of Industrial Home, begun work in September, 1884, Superintendent, ""E. L. Rust"" Home",,AR 3 (p.121),,AR 4 (p. 42),AR 5 (p. 110),AR 6 (p. 110),AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),,,,,,,,,,,,,,
Miss S. O. Perdum ,M. E. C. ,W. H. M. S. ,Orangeburg South Carolina USA  ,33.4918203,-80.8556476,1883-1884,F,"Superintendent of Industrial Home, begun work in October 1884",,AR 3 (p.121),,AR 4 (p. 42),AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,
Miss Georgianna Hale,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1883-1884,F,Teacher,,AR 3 (p.121),,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,
Miss Lizzie Taylor,M. E. C. ,W. H. M. S. ,Mt. Zion Louisiana USA  ,31.7243332,-92.8607113,1883-1884,F,Teacher,,AR 3 (p.121),,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,
Miss M. E. Lehman,M. E. C. ,W. H. M. S. ,La Harpe Louisiana USA  ,30.5190775,-91.5208624,1883-1884,F,Teacher,,AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. F. H. Williams,M. E. C. ,W. H. M. S. ,Algiers Louisiana USA  ,29.9214314,-90.0142486,1883-1884,F,Teacher,,AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss S.F. Keeley,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1884-1885,F,"""Gilbert Haven"" Industrial Home",,AR 3 (p.121),,AR 4 (p. 42),,,,,,,,,,,,,,,,,,,,,,,,,
Miss M. A. Bidwell,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1884-1885,F,Teacher in Seminary,,AR 4 (p. 42),,,AR 5 (p.110),,,,,,,,,,,,,,,,,,,,,,,,
Miss L . M. Sangstad,M. E. C. ,W. H. M. S. ,Mt. Pleasant Utah USA  ,39.5469073,-111.4554659,1884-1885,F,Teacher in Scandinavian School,,AR 4 (p. 42),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. S. D. Snow,M. E. C. ,W. H. M. S. ,Greensboro North Carolina USA  ,36.0726354,-79.7919754,1885-1886,F,"Superintendent ""Kent"" Home, Assistant Industrial Teacher ""Kent"" Home",,AR 5 (p. 110),,,,AR 6 (p. 110),AR 7 (p. 7 ),,,,,,,AR 14 (p. 12),,AR 16 (p. 14),AR 17 (p. 14),,,,,,,,,,,,
Miss H. E. Emerson,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1885-1886,F,"Superintendent ""Boylan"" Home",Miss Hattie. E. Emmerson,AR 5 (p. 110),,,,AR 6 (p. 110),AR 7 (p. 7 ),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),,AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),AR 16 (p. 13),AR 17 (p. 13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21),,,,,,,
Mrs. L. C. Bradley,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1885-1886,F,Missionary,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss M. A. Locke,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1885-1886,F,Missionary,,AR 5 (p. 110),,,,AR 6 (p. 110),AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss C. M. Larsen,M. E. C. ,W. H. M. S. ,Mt. Pleasant Utah USA  ,39.5469073,-111.4554659,1885-1886,F,Teacher,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss J. S. Lincoln,M. E. C. ,W. H. M. S. ,Provo Utah USA  ,40.2338438,-111.6585337,1885-1886,F,Teacher,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss E. L. Anderson,M. E. C. ,W. H. M. S. ,Maroni Utah USA  ,39.5249615,-111.5904725,1885-1886,F,Teacher,,AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. F. T. Gaddis,M. E. C. ,W. H. M. S. ,Pawnee Agency Indian Territory USA  ,36.3378321,-96.8039232,1885-1886,F,"Missionary, Missionary in Pawhuska",, AR 5(p. 111),,,,AR 6 (p. 110),AR 7 (p. 7),AR 8 (p. 8),,,,,,,,,,,,,,,,,,,,,
Miss E. L. Jolls,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1885-1886,F,"Missionary ""Haven"" Home",,AR 5 (p. 111),,,,AR 6 (p. 110),AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss M. H. Walters,M. E. C. ,W. H. M. S. ,Provo Utah USA  ,40.2338438,-111.6585337,1885-1886,F,Missionary,,AR 5 (p. 111),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss M. Helgerson,M. E. C. ,W. H. M. S. ,Mt. Pleasant Utah USA  ,39.5469073,-111.4554659,1885-1886,F,"Teacher, Teacher ""Thomson"" Mission",,AR 5 (p. 111),,,,AR 6 (p. 110),AR 7 (p. 7),,AR 9 (p.10),,,,,,,,,,,,,,,,,,,,
Mrs Mary Monnett,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1885-1886,F,Missionary,,AR 5 (p. 111),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss E. J. Betts,M. E. C. ,W. H. M. S. ,Charleston South Carolina USA  ,32.7833163,-79.9319664,1885-1886,F,Missionary,,AR 5 (p. 111),,,,AR 6 (p.110),AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Mrs. Anna D. Christepherson,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1885-1886,F,Missionary,,AR 5 (p. 111),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Helen A. Matthews,M. E. C. ,W. H. M. S. ,Castle Garden New York City USA  ,40.7034796,-74.0166312,1885-1886,F,Missionary,,AR 5 (p. 111),,,,AR 6 (p.110),AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),,,,,,,,,,,,,,,,,,,,
Miss M. L. Santley,M. E. C. ,W. H. M. S. ,Orangeburg South Carolina USA  ,33.4918203,-80.8556476,1886-1887,F,"Superintendent ""Simpson"" Home",,AR 6 (p. 110),,,,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Rev. N. S. Albright,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1886-1887,M,"Superintendent ""Ashville"" School",,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss H. A. Lindsay,M. E. C. ,W. H. M. S. ,Holly Springs Mississippi USA  ,34.7675967,-89.4486894,1886-1887,F," Assistant ""E. L. Rust"" Home",,AR 6 (p. 110),,,,,AR (p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss Augusta Wood,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1886-1887,F,"Assistant ""A. M. Smith"" Home",,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Alsie B. Dole,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1886-1887,F,"Industrial Teacher ""Ashville"" School, Superintendent ""Ashville"" School , Superintendent Allen Industrial Home                 ",,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),AR 16 (p. 14),AR 17 (p. 14),AR 18 (p. 15),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 21),AR 23 (p. 19),,AR 25 (p. 20),AR 26 (p. 23),AR 27 (p. 25),AR 28 (p. 28),AR 29 (p. 28)
Miss E. C. Levering,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1886-1887,F,"Assistant ""Ashville"" School",,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),,,,,,,,,,,,,,,,,,,,
Miss C. H. Snyder,M. E. C. ,W. H. M. S. ,Morristown Tennessee USA  ,36.2139814,-83.2948922,1886-1887,F,Industrial Teacher                 ,,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),,,,,,,,,,,,,,,,,,
Miss Matie Beard,M. E. C. ,W. H. M. S. ,Pawnee Agency Indian Territory USA  ,36.3378321,-96.8039232,1886-1887,F,Missionary,,AR 6 (p. 110),,,,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss M. Horesud,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1886-1887,F,"Missionary, Teacher in Richfield 1887-1888, 1888-1889",,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9(p. 9),,,,,,,,,,,,,,,,,,,,
Miss M. Iverson ,M. E. C. ,W. H. M. S. ,Maroni Utah USA  ,39.5249615,-111.5904725,1886-1887,F,"Teacher ""Gurley"" Mission",,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),,AR 10 (p. 9),AR 11 (p. 9),,,,,,,,,,,,,,,,,,
Miss B. Helgeson,M. E. C. ,W. H. M. S. ,Spanish Fork Utah USA  ,40.114955,-111.654923,1886-1887,F,Teacher,,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss S. Peterson,M. E. C. ,W. H. M. S. ,Richfield Utah USA  ,38.7724673,-112.0840943,1886-1887,F,Teacher,,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss E. Nelson,M. E. C. ,W. H. M. S. ,Elsinore Utah USA  ,38.6827482,-112.14826,1886-1887,F,Teacher,,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss W. Burton,M. E. C. ,W. H. M. S. ,Grantsville Utah USA  ,40.5999425,-112.4643988,1886-1887,F,Teacher,,AR 6 (p. 110),,,,,AR 7(p. 7),,,,,,,,,,,,,,,,,,,,,,
Miss E. Thorson,M. E. C. ,W. H. M. S. ,Ephraim Utah USA  ,39.3596841,-111.5863052,1886-1887,F,Teacher,,AR 6 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. A. Norton. M. D.,M. E. C. ,W. H. M. S. ,Albuquerque New Mexico USA  ,35.0843859,-106.650422,1886-1887,F,"Missionary, Nurse Training Department, ""E. L. Rust"" Home",,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 10),AR 10 (p. 10),,AR 12 (p. 10),,,,AR 16 (p. 13),,,,,,,,,,,,,
Miss I. Brimmer,M. E. C. ,W. H. M. S. ,Albuquerque New Mexico USA  ,35.0843859,-106.650422,1886-1887,F,Missionary,,AR 6 (p. 110),,,,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,
Mrs. M. B. Torres,M. E. C. ,W. H. M. S. ,Espanola New Mexico USA  ,35.9910383,-106.0818233,1886-1887,F,Bible Reader,,AR 6 (p. 110),,,,,AR 7 (p. 7),AR 8 (p. 8),AR 9 (p.10),,,,,,,,,,,,,,,,,,,,
Mrs. Sara A. Daley,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1887-1888,F,"Missionary ""Haven"" Home, Assistant ""Kent"" Home Greensboro",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p.9),AR 10 (p. 9),,,,,,,,,,,,,,,,,,,
Miss A. E. L. Newhart,M. E. C. ,W. H. M. S. ,Greensboro North Carolina USA  ,36.0726354,-79.7919754,1887-1888,F,"Industrial Teacher ""Kent Home""",,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss F. E. Mitchell,M. E. C. ,W. H. M. S. ,Atlanta Georgia USA  ,33.748752,-84.3876845,1887-1888,F,"Superintendent ""Thayer"" Home",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),,AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),,,,,,,,,,,,,,
Mrs. C.  Emerson,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1887-1888,F,"Matron ""Boylan"" Home",,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss H. E. Morehouse,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1887-1888,F,"Missionary ""Boylan"" Home",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),AR 16 (p. 13),AR 17 (p.13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21),,,,,,,
Miss L. C. Shaw,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1887-1888,F,"Assistant ""A. M. Smith"" Home",,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss M. A. Tripp,M. E. C. ,W. H. M. S. ,Camden South Carolina USA  ,34.2465393,-80.6070237,1887-1888,F,"Superintendent ""F. O. Browning"" Home, Assistant ""Simpson"" Home Orangeburg, Missionary in Albuquerque, Missionary in Jewett, Superintendent Farmington, New Mexico",Miss Mary A. Tripp,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),AR 10 (p. 10),,,AR 13 (p. 12),,AR 15 (p. 13),AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),AR 19 (p. 17),AR 20 (p. 19),AR 21 (p. 20),AR 22 (p.22),AR 23 (p. 20),,AR 25 (p. 21),,,,
Miss E. Levi,M. E. C. ,W. H. M. S. ,Camden South Carolina USA  ,34.2465393,-80.6070237,1887-1888,F,"Missionary ""F. O. Browning"" Home",,AR 7 (p. 7),,,,,,AR 8 (p. 8),,,,,,,,,,,,,,,,,,,,,
Miss F. V. Russell,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1887-1888,F,"Superintendent "" Ashville"" School, Teacher ""F. O. Browning"" Home in Camden, Principal Mather Academy",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11(p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),AR 16 (p. 14),AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),,,AR 23 (p. 20),AR 24 (p. 21),AR 25 (p. 20),AR 26 (p. 23),AR 27 (p. 26),AR 28 (p. 28),AR 29 (p. 28)
Miss S. E. Thornborough,M. E. C. ,W. H. M. S. ,Sumter South Carolina USA  ,33.9204354,-80.3414693,1887-1888,F,"Industrial Teacher, Assistant ""Kent"" Industrial Home Greensboro",,AR 7 (p. 7),,,,,,,,,,,,,AR 15 (p. 12),AR 16 (p. 14),AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 16),,,,,,,,,,
Miss E. Penfield,M. E. C. ,W. H. M. S. ,Charleston South Carolina USA  ,32.7833163,-79.9319664,1887-1888,F,"Missionary, Superintendent "" Simpson"" Home Orangeburg",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12),AR 16 (p. 14),AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 16),,,,,,,,,,
Mrs. S. M. Ford,M. E. C. ,W. H. M. S. ,Castle Garden New York City USA  ,40.7034796,-74.0166312,1887-1888,F,Missionary,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss C. I. Ewen,M. E. C. ,W. H. M. S. ,Pawhuska Indian Territory USA  ,36.6678426,-96.3372309,1887-1888,F,Missionary,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss M. J. Caldwell,M. E. C. ,W. H. M. S. ,Pawhuska Indian Territory USA  ,36.6678426,-96.3372309,1887-1888,F,Matron,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss E. Clark,M. E. C. ,W. H. M. S. ,Ponca Agency Indian Territory USA  ,36.0242433,-93.3646264,1887-1888,F,Missionary,,AR 7 (p. 7),,,,,,AR 8 (p. 8),,,,,,,,,,,,,,,,,,,,,
Mrs. L. A. Morehouse. M. D.,M. E. C. ,W. H. M. S. ,Nooksachk Washington Territory USA  ,48.9276179,-122.3215466,1887-1888,F,"M. D., Missionary, Nootsachk",,AR 7 (p. 7),,,,,,AR 8 (p. 8),,,,,,,,,,,,,,,,,,,,,
Miss E. C. Ericksen,M. E. C. ,W. H. M. S. ,Spanish Fork Utah USA  ,40.114955,-111.654923,1887-1888,F,Teacher,,AR 7 (p. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss P. Larsen,M. E. C. ,W. H. M. S. ,Elsinore Utah USA  ,38.6827482,-112.14826,1887-1888,F,"Teacher ""Columbus"" Mission",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 9),,,,,,,,,,,,,,,,,,,,
Miss J. Iverson,M. E. C. ,W. H. M. S. ,Ephraim Utah USA  ,39.3596841,-111.5863052,1887-1888,F,"Teacher ""Palmer"" Mission",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),,AR 11 (p. 9),AR 12 (p. 10),,,,,,,,,,,,,,,,,
Miss M. Larsen,M. E. C. ,W. H. M. S. ,Spring City Utah USA  ,39.482463,-111.4960236,1887-1888,F,"Teacher ""S. V. Leech"" Mission",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),,,,,,,,,,,,,,,,,,,,
Miss A. Ericksen,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1887-1888,F,"Teacher ""Spencer"" Mission",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),,,,,,,,,,,,,,,,,,,,
Miss M. Clegg,M. E. C. ,W. H. M. S. ,Amargo New Mexico USA  ,36.9377889,-106.891704,1887-1888,F,"Missionary, Missionary in Dulce New Mexico 1889-1890, 1893-1894",,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),AR 10 (p. 10),AR 11 (p. 10),AR 12 (p. 10),AR 13 (p. 12),,AR 15 (p. 13),AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),,,,,,,,,,,
Miss S. E. Moore,M. E. C. ,W. H. M. S. ,Amargo New Mexico USA  ,36.9377889,-106.891704,1887-1888,F,"Missionary, Teacher, Missonary in Dulce- New Mexico",Miss Sarah E. Moore,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),AR 10 (p. 10),,AR 12 (p. 10),AR 13 (p. 12),,AR 15 (p. 13),AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),,AR 20 (p. 19),,AR 22 (p. 22),,,,,,,
Mrs. T. Chavez,M. E. C. ,W. H. M. S. ,Peralta New Mexico USA  ,34.8369984,-106.690581,1887-1888,F,Bible Reader,,AR 7 (p. 7),,,,,,AR 8 (p. 8),AR 9 (p. 10),,,,,,,,,,,,,,,,,,,,
Miss Lilian Wilcox,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1888-1889,F,"Missionary ""Haven"" Home",,AR 8 (p. 8),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss S. B. Breed,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1888-1889,F,"Missionary ""Haven"" Home, Assistant, ""F. O. Browning"" Home",,AR 8 (p. 8),,,,,,,AR 9 (p. 9),AR 10 (P. 9),AR 11 (p. 9),,,,,,,,,,,,,,,,,,
